range ,row,plot,experiment,rep,genotype
23,85,9447,Border,Border,Border
1,86,9214,Border,Border,Border
2,86,2032,SbDiv 2025,2,Check
3,86,2069,SbDiv 2025,2,SC0893
4,86,2132,SbDiv 2025,2,PI 534018
5,86,2169,SbDiv 2025,2,PI 534111
6,86,2232,SbDiv 2025,2,PI 597973
7,86,2269,SbDiv 2025,2,PI 533860
8,86,2332,SbDiv 2025,2,SC0759
9,86,2369,SbDiv 2025,2,PI 656120
10,86,2432,SbDiv 2025,2,PI 656004
11,86,2469,SbDiv 2025,2,PI 576425
12,86,2532,SbDiv 2025,2,PI 629059
13,86,2569,SbDiv 2025,2,PI 595727
14,86,2632,SbDiv 2025,2,PI 533764
15,86,2669,SbDiv 2025,2,PI 656025
16,86,2732,SbDiv 2025,2,Check
17,86,2769,SbDiv 2025,2,PI 576427
18,86,2832,SbDiv 2025,2,PI 533790
19,86,2869,SbDiv 2025,2,Check
20,86,2932,SbDiv 2025,2,PI 534104
21,86,2969,SbDiv 2025,2,PI 533931
22,86,6032,Mural ExPVP 2025,2,PI 605725
23,86,9448,Border,Border,Border
1,87,9215,Border,Border,Border
2,87,2033,SbDiv 2025,2,SC1170
3,87,2068,SbDiv 2025,2,PI 659695
4,87,2133,SbDiv 2025,2,PI 576333
5,87,2168,SbDiv 2025,2,PI 595741
6,87,2233,SbDiv 2025,2,PI 533939
7,87,2268,SbDiv 2025,2,PI 576342
8,87,2333,SbDiv 2025,2,PI 655998
9,87,2368,SbDiv 2025,2,PI 533917
10,87,2433,SbDiv 2025,2,PI 595735
11,87,2468,SbDiv 2025,2,PI 533844
12,87,2533,SbDiv 2025,2,PI 656005
13,87,2568,SbDiv 2025,2,PI 576423
14,87,2633,SbDiv 2025,2,PI 656085
15,87,2668,SbDiv 2025,2,PI 533829
16,87,2733,SbDiv 2025,2,PI 534100
17,87,2768,SbDiv 2025,2,PI 595734
18,87,2833,SbDiv 2025,2,PI 533907
19,87,2868,SbDiv 2025,2,PI 533964
20,87,2933,SbDiv 2025,2,PI 595739
21,87,2968,SbDiv 2025,2,PI 533847
22,87,6033,Mural ExPVP 2025,2,PI 596332
23,87,9449,Border,Border,Border
1,88,9216,Border,Border,Border
2,88,2034,SbDiv 2025,2,PI 534124
3,88,2067,SbDiv 2025,2,PI 595704
4,88,2134,SbDiv 2025,2,PI 534041
5,88,2167,SbDiv 2025,2,Check
6,88,2234,SbDiv 2025,2,SC0616
7,88,2267,SbDiv 2025,2,SC0636
8,88,2334,SbDiv 2025,2,SC0412
9,88,2367,SbDiv 2025,2,PI 576434
10,88,2434,SbDiv 2025,2,PI 153852
11,88,2467,SbDiv 2025,2,PI 533839
12,88,2534,SbDiv 2025,2,PI 576436
13,88,2567,SbDiv 2025,2,Check
14,88,2634,SbDiv 2025,2,PI 597982
15,88,2667,SbDiv 2025,2,PI 533822
16,88,2734,SbDiv 2025,2,PI 534120
17,88,2767,SbDiv 2025,2,PI 597956
18,88,2834,SbDiv 2025,2,PI 533805
19,88,2867,SbDiv 2025,2,PI 540816
20,88,2934,SbDiv 2025,2,PI 533960
21,88,2967,SbDiv 2025,2,Check
22,88,6034,Mural ExPVP 2025,2,PI 555457
23,88,9450,Border,Border,Border
1,89,9217,Border,Border,Border
2,89,2035,SbDiv 2025,2,PI 597961
3,89,2066,SbDiv 2025,2,PI 595737
4,89,2135,SbDiv 2025,2,PI 655992
5,89,2166,SbDiv 2025,2,PI 597966
6,89,2235,SbDiv 2025,2,PI 576433
7,89,2266,SbDiv 2025,2,PI 656064
8,89,2335,SbDiv 2025,2,PI 595725
9,89,2366,SbDiv 2025,2,SC0618
10,89,2435,SbDiv 2025,2,PI 641849
11,89,2466,SbDiv 2025,2,PI 656076
12,89,2535,SbDiv 2025,2,PI 656000
13,89,2566,SbDiv 2025,2,PI 656049
14,89,2635,SbDiv 2025,2,PI 576359
15,89,2666,SbDiv 2025,2,PI 595717
16,89,2735,SbDiv 2025,2,PI 576429
17,89,2766,SbDiv 2025,2,PI 533788
18,89,2835,SbDiv 2025,2,PI 534066
19,89,2866,SbDiv 2025,2,SC0556
20,89,2935,SbDiv 2025,2,PI 576400
21,89,2966,SbDiv 2025,2,SC0191
22,89,6035,Mural ExPVP 2025,2,PI 601721
23,89,9451,Border,Border,Border
1,90,9218,Border,Border,Border
2,90,2036,SbDiv 2025,2,PI 655980
3,90,2065,SbDiv 2025,2,PI 534055
4,90,2136,SbDiv 2025,2,PI 533891
5,90,2165,SbDiv 2025,2,Check
6,90,2236,SbDiv 2025,2,SC1178
7,90,2265,SbDiv 2025,2,PI 576378
8,90,2336,SbDiv 2025,2,PI 576335
9,90,2365,SbDiv 2025,2,PI 659693
10,90,2436,SbDiv 2025,2,PI 533911
11,90,2465,SbDiv 2025,2,PI 656021
12,90,2536,SbDiv 2025,2,PI 534010
13,90,2565,SbDiv 2025,2,PI 656080
14,90,2636,SbDiv 2025,2,PI 533990
15,90,2665,SbDiv 2025,2,PI 533849
16,90,2736,SbDiv 2025,2,PI 595722
17,90,2765,SbDiv 2025,2,PI 533930
18,90,2836,SbDiv 2025,2,SC0871
19,90,2865,SbDiv 2025,2,PI 597965
20,90,2936,SbDiv 2025,2,PI 17548
21,90,2965,SbDiv 2025,2,PI 533998
22,90,6036,Mural ExPVP 2025,2,PI 574397
23,90,9452,Border,Border,Border
1,91,9219,Border,Border,Border
2,91,2037,SbDiv 2025,2,PI 533920
3,91,2064,SbDiv 2025,2,PI 533841
4,91,2137,SbDiv 2025,2,PI 656022
5,91,2164,SbDiv 2025,2,PI 576130
6,91,2237,SbDiv 2025,2,PI 534008
7,91,2264,SbDiv 2025,2,PI 533882
8,91,2337,SbDiv 2025,2,Check
9,91,2364,SbDiv 2025,2,PI 533932
10,91,2437,SbDiv 2025,2,PI 656090
11,91,2464,SbDiv 2025,2,PI 576343
12,91,2537,SbDiv 2025,2,PI 565121
13,91,2564,SbDiv 2025,2,PI 533992
14,91,2637,SbDiv 2025,2,Check
15,91,2664,SbDiv 2025,2,PI 656057
16,91,2737,SbDiv 2025,2,PI 576361
17,91,2764,SbDiv 2025,2,PI 655986
18,91,2837,SbDiv 2025,2,PI 533985
19,91,2864,SbDiv 2025,2,PI 534125
20,91,2937,SbDiv 2025,2,SC0400
21,91,2964,SbDiv 2025,2,Check
22,91,6037,Mural ExPVP 2025,2,Fill
23,91,9453,Border,Border,Border
1,92,9220,Border,Border,Border
2,92,2038,SbDiv 2025,2,PI 533848
3,92,2063,SbDiv 2025,2,PI 534150
4,92,2138,SbDiv 2025,2,PI 534163
5,92,2163,SbDiv 2025,2,PI 576431
6,92,2238,SbDiv 2025,2,PI 533951
7,92,2263,SbDiv 2025,2,PI 534014
8,92,2338,SbDiv 2025,2,PI 576404
9,92,2363,SbDiv 2025,2,PI 534119
10,92,2438,SbDiv 2025,2,PI 533966
11,92,2463,SbDiv 2025,2,PI 534156
12,92,2538,SbDiv 2025,2,PI 533950
13,92,2563,SbDiv 2025,2,PI 533924
14,92,2638,SbDiv 2025,2,PI 533746
15,92,2663,SbDiv 2025,2,PI 656061
16,92,2738,SbDiv 2025,2,PI 533747
17,92,2763,SbDiv 2025,2,PI 534072
18,92,2838,SbDiv 2025,2,PI 576341
19,92,2863,SbDiv 2025,2,PI 534083
20,92,2938,SbDiv 2025,2,SC1023
21,92,2963,SbDiv 2025,2,PI 576430
22,92,6038,Mural ExPVP 2025,2,PI 613613
23,92,9454,Border,Border,Border
1,93,9221,Border,Border,Border
2,93,2039,SbDiv 2025,2,PI 534107
3,93,2062,SbDiv 2025,2,Check
4,93,2139,SbDiv 2025,2,PI 656087
5,93,2162,SbDiv 2025,2,PI 552861
6,93,2239,SbDiv 2025,2,PI 533934
7,93,2262,SbDiv 2025,2,PI 533798
8,93,2339,SbDiv 2025,2,PI 597958
9,93,2362,SbDiv 2025,2,PI 533961
10,93,2439,SbDiv 2025,2,PI 534165
11,93,2462,SbDiv 2025,2,PI 656071
12,93,2539,SbDiv 2025,2,Check
13,93,2562,SbDiv 2025,2,PI 533816
14,93,2639,SbDiv 2025,2,PI 533800
15,93,2662,SbDiv 2025,2,PI 576356
16,93,2739,SbDiv 2025,2,PI 533759
17,93,2762,SbDiv 2025,2,PI 533852
18,93,2839,SbDiv 2025,2,Check
19,93,2862,SbDiv 2025,2,PI 595728
20,93,2939,SbDiv 2025,2,PI 533987
21,93,2962,SbDiv 2025,2,PI 576336
22,93,6039,Mural ExPVP 2025,2,PI 554646
23,93,9455,Border,Border,Border
1,94,9222,Border,Border,Border
2,94,2040,SbDiv 2025,2,PI 533958
3,94,2061,SbDiv 2025,2,PI 534037
4,94,2140,SbDiv 2025,2,PI 534088
5,94,2161,SbDiv 2025,2,SC0371
6,94,2240,SbDiv 2025,2,PI 576398
7,94,2261,SbDiv 2025,2,PI 534161
8,94,2340,SbDiv 2025,2,PI 656110
9,94,2361,SbDiv 2025,2,PI 595720
10,94,2440,SbDiv 2025,2,PI 576421
11,94,2461,SbDiv 2025,2,PI 533933
12,94,2540,SbDiv 2025,2,SC1120
13,94,2561,SbDiv 2025,2,PI 655982
14,94,2640,SbDiv 2025,2,PI 533943
15,94,2661,SbDiv 2025,2,PI 595700
16,94,2740,SbDiv 2025,2,SC0864
17,94,2761,SbDiv 2025,2,SC0463
18,94,2840,SbDiv 2025,2,PI 534154
19,94,2861,SbDiv 2025,2,SC0092
20,94,2940,SbDiv 2025,2,PI 533913
21,94,2961,SbDiv 2025,2,PI 533955
22,94,6040,Mural ExPVP 2025,2,PI 613612
23,94,9456,Border,Border,Border
1,95,9223,Border,Border,Border
2,95,2041,SbDiv 2025,2,PI 533751
3,95,2060,SbDiv 2025,2,PI 534167
4,95,2141,SbDiv 2025,2,PI 576332
5,95,2160,SbDiv 2025,2,PI 597976
6,95,2241,SbDiv 2025,2,SC0179
7,95,2260,SbDiv 2025,2,PI 534134
8,95,2341,SbDiv 2025,2,PI 656011
9,95,2360,SbDiv 2025,2,PI 656096
10,95,2441,SbDiv 2025,2,PI 533821
11,95,2460,SbDiv 2025,2,PI 659753
12,95,2541,SbDiv 2025,2,PI 534095
13,95,2560,SbDiv 2025,2,PI 656070
14,95,2641,SbDiv 2025,2,Check
15,95,2660,SbDiv 2025,2,SC1193
16,95,2741,SbDiv 2025,2,PI 598070
17,95,2760,SbDiv 2025,2,PI 576369
18,95,2841,SbDiv 2025,2,SC0314
19,95,2860,SbDiv 2025,2,Check
20,95,2941,SbDiv 2025,2,Check
21,95,2960,SbDiv 2025,2,PI 576329
22,95,6041,Mural ExPVP 2025,2,PI 602599
23,95,9457,Border,Border,Border
1,96,9224,Border,Border,Border
2,96,2042,SbDiv 2025,2,PI 534110
3,96,2059,SbDiv 2025,2,PI 595732
4,96,2142,SbDiv 2025,2,Check
5,96,2159,SbDiv 2025,2,PI 533770
6,96,2242,SbDiv 2025,2,PI 656081
7,96,2259,SbDiv 2025,2,Check
8,96,2342,SbDiv 2025,2,PI 534052
9,96,2359,SbDiv 2025,2,PI 534078
10,96,2442,SbDiv 2025,2,Check
11,96,2459,SbDiv 2025,2,PI 533870
12,96,2542,SbDiv 2025,2,PI 597977
13,96,2559,SbDiv 2025,2,PI 533881
14,96,2642,SbDiv 2025,2,PI 534075
15,96,2659,SbDiv 2025,2,PI 656053
16,96,2742,SbDiv 2025,2,PI 576405
17,96,2759,SbDiv 2025,2,PI 533851
18,96,2842,SbDiv 2025,2,PI 595699
19,96,2859,SbDiv 2025,2,SC0921
20,96,2942,SbDiv 2025,2,PI 533828
21,96,2959,SbDiv 2025,2,PI 576418
22,96,6042,Mural ExPVP 2025,2,PI 554649
23,96,9458,Border,Border,Border
1,97,9225,Border,Border,Border
2,97,2043,SbDiv 2025,2,SC0860
3,97,2058,SbDiv 2025,2,PI 533904
4,97,2143,SbDiv 2025,2,PI 576376
5,97,2158,SbDiv 2025,2,PI 534103
6,97,2243,SbDiv 2025,2,PI 534129
7,97,2258,SbDiv 2025,2,PI 533901
8,97,2343,SbDiv 2025,2,SC0479
9,97,2358,SbDiv 2025,2,PI 655991
10,97,2443,SbDiv 2025,2,PI 533980
11,97,2458,SbDiv 2025,2,SC0542
12,97,2543,SbDiv 2025,2,PI 533896
13,97,2558,SbDiv 2025,2,PI 566819
14,97,2643,SbDiv 2025,2,SC1058
15,97,2658,SbDiv 2025,2,PI 656032
16,97,2743,SbDiv 2025,2,SC0540
17,97,2758,SbDiv 2025,2,PI 534137
18,97,2843,SbDiv 2025,2,PI 576367
19,97,2858,SbDiv 2025,2,PI 534112
20,97,2943,SbDiv 2025,2,PI 22326
21,97,2958,SbDiv 2025,2,PI 576393
22,97,6043,Mural ExPVP 2025,2,PI 605724
23,97,9459,Border,Border,Border
1,98,9226,Border,Border,Border
2,98,2044,SbDiv 2025,2,SC0456
3,98,2057,SbDiv 2025,2,PI 533814
4,98,2144,SbDiv 2025,2,PI 533902
5,98,2157,SbDiv 2025,2,PI 659692
6,98,2244,SbDiv 2025,2,PI 533994
7,98,2257,SbDiv 2025,2,PI 595740
8,98,2344,SbDiv 2025,2,PI 152651
9,98,2357,SbDiv 2025,2,PI 656068
10,98,2444,SbDiv 2025,2,PI 534084
11,98,2457,SbDiv 2025,2,PI 597946
12,98,2544,SbDiv 2025,2,PI 533976
13,98,2557,SbDiv 2025,2,Check
14,98,2644,SbDiv 2025,2,PI 534106
15,98,2657,SbDiv 2025,2,PI 533952
16,98,2744,SbDiv 2025,2,PI 533984
17,98,2757,SbDiv 2025,2,PI 534121
18,98,2844,SbDiv 2025,2,PI 534006
19,98,2857,SbDiv 2025,2,PI 576403
20,98,2944,SbDiv 2025,2,SC0287
21,98,2957,SbDiv 2025,2,PI 534139
22,98,6044,Mural ExPVP 2025,2,PI 601557
23,98,9460,Border,Border,Border
1,99,9227,Border,Border,Border
2,99,2045,SbDiv 2025,2,PI 576428
3,99,2056,SbDiv 2025,2,PI 533903
4,99,2145,SbDiv 2025,2,PI 656014
5,99,2156,SbDiv 2025,2,PI 533778
6,99,2245,SbDiv 2025,2,PI 533897
7,99,2256,SbDiv 2025,2,PI 533772
8,99,2345,SbDiv 2025,2,PI 533812
9,99,2356,SbDiv 2025,2,PI 576408
10,99,2445,SbDiv 2025,2,PI 534157
11,99,2456,SbDiv 2025,2,PI 656019
12,99,2545,SbDiv 2025,2,PI 576355
13,99,2556,SbDiv 2025,2,PI 656097
14,99,2645,SbDiv 2025,2,PI 656052
15,99,2656,SbDiv 2025,2,PI 533991
16,99,2745,SbDiv 2025,2,PI 597955
17,99,2756,SbDiv 2025,2,PI 656055
18,99,2845,SbDiv 2025,2,PI 656117
19,99,2856,SbDiv 2025,2,PI 533765
20,99,2945,SbDiv 2025,2,PI 534017
21,99,2956,SbDiv 2025,2,PI 655997
22,99,6045,Mural ExPVP 2025,2,PI 613611
23,99,9461,Border,Border,Border
1,100,9228,Border,Border,Border
2,100,2046,SbDiv 2025,2,PI 576383
3,100,2055,SbDiv 2025,2,PI 534038
4,100,2146,SbDiv 2025,2,SC0201
5,100,2155,SbDiv 2025,2,PI 656062
6,100,2246,SbDiv 2025,2,PI 533916
7,100,2255,SbDiv 2025,2,SC0741
8,100,2346,SbDiv 2025,2,Check
9,100,2355,SbDiv 2025,2,PI 656030
10,100,2446,SbDiv 2025,2,PI 533925
11,100,2455,SbDiv 2025,2,PI 534142
12,100,2546,SbDiv 2025,2,PI 533864
13,100,2555,SbDiv 2025,2,PI 534002
14,100,2646,SbDiv 2025,2,PI 595723
15,100,2655,SbDiv 2025,2,PI 655988
16,100,2746,SbDiv 2025,2,Check
17,100,2755,SbDiv 2025,2,PI 533929
18,100,2846,SbDiv 2025,2,PI 533988
19,100,2855,SbDiv 2025,2,PI 533923
20,100,2946,SbDiv 2025,2,PI 533769
21,100,2955,SbDiv 2025,2,Check
22,100,6046,Mural ExPVP 2025,2,PI 554654
23,100,9462,Border,Border,Border
1,101,9229,Border,Border,Border
2,101,2047,SbDiv 2025,2,PI 576417
3,101,2054,SbDiv 2025,2,PI 534046
4,101,2147,SbDiv 2025,2,PI 533941
5,101,2154,SbDiv 2025,2,PI 534086
6,101,2247,SbDiv 2025,2,PI 534140
7,101,2254,SbDiv 2025,2,PI 533890
8,101,2347,SbDiv 2025,2,PI 656020
9,101,2354,SbDiv 2025,2,PI 533956
10,101,2447,SbDiv 2025,2,PI 576401
11,101,2454,SbDiv 2025,2,PI 656105
12,101,2547,SbDiv 2025,2,PI 656078
13,101,2554,SbDiv 2025,2,PI 534032
14,101,2647,SbDiv 2025,2,PI 641824
15,101,2654,SbDiv 2025,2,PI 597975
16,101,2747,SbDiv 2025,2,PI 534122
17,101,2754,SbDiv 2025,2,PI 595718
18,101,2847,SbDiv 2025,2,PI 533756
19,101,2854,SbDiv 2025,2,PI 576339
20,101,2947,SbDiv 2025,2,SC0582
21,101,2954,SbDiv 2025,2,PI 656098
22,101,6047,Mural ExPVP 2025,2,PI 594355
23,101,9463,Border,Border,Border
1,102,9230,Border,Border,Border
2,102,2048,SbDiv 2025,2,PI 576364
3,102,2053,SbDiv 2025,2,PI 576419
4,102,2148,SbDiv 2025,2,PI 576348
5,102,2153,SbDiv 2025,2,PI 534013
6,102,2248,SbDiv 2025,2,SC0868
7,102,2253,SbDiv 2025,2,Fill
8,102,2348,SbDiv 2025,2,PI 597952
9,102,2353,SbDiv 2025,2,PI 595705
10,102,2448,SbDiv 2025,2,PI 656041
11,102,2453,SbDiv 2025,2,PI 607931
12,102,2548,SbDiv 2025,2,PI 576350
13,102,2553,SbDiv 2025,2,PI 656001
14,102,2648,SbDiv 2025,2,PI 534131
15,102,2653,SbDiv 2025,2,PI 533768
16,102,2748,SbDiv 2025,2,PI 595731
17,102,2753,SbDiv 2025,2,Check
18,102,2848,SbDiv 2025,2,SC0458
19,102,2853,SbDiv 2025,2,PI 656002
20,102,2948,SbDiv 2025,2,PI 533834
21,102,2953,SbDiv 2025,2,PI 534128
22,102,6048,Mural ExPVP 2025,2,PI 574398
23,102,9464,Border,Border,Border
1,103,9231,Border,Border,Border
2,103,2049,SbDiv 2025,2,PI 656060
3,103,2052,SbDiv 2025,2,PI 534164
4,103,2149,SbDiv 2025,2,PI 533835
5,103,2152,SbDiv 2025,2,Check
6,103,2249,SbDiv 2025,2,PI 534114
7,103,2252,SbDiv 2025,2,PI 585295
8,103,2349,SbDiv 2025,2,PI 534030
9,103,2352,SbDiv 2025,2,PI 534130
10,103,2449,SbDiv 2025,2,SC1021
11,103,2452,SbDiv 2025,2,PI 534089
12,103,2549,SbDiv 2025,2,Check
13,103,2552,SbDiv 2025,2,SC1114
14,103,2649,SbDiv 2025,2,PI 656077
15,103,2652,SbDiv 2025,2,PI 329440
16,103,2749,SbDiv 2025,2,PI 576415
17,103,2752,SbDiv 2025,2,PI 534113
18,103,2849,SbDiv 2025,2,PI 533936
19,103,2852,SbDiv 2025,2,PI 655999
20,103,2949,SbDiv 2025,2,PI 533969
21,103,2952,SbDiv 2025,2,PI 533997
22,103,6049,Mural ExPVP 2025,2,PI 561926
23,103,9465,Border,Border,Border
1,104,9232,Border,Border,Border
2,104,2050,SbDiv 2025,2,Check
3,104,2051,SbDiv 2025,2,PI 533763
4,104,2150,SbDiv 2025,2,PI 533801
5,104,2151,SbDiv 2025,2,PI 533935
6,104,2250,SbDiv 2025,2,PI 534109
7,104,2251,SbDiv 2025,2,PI 533793
8,104,2350,SbDiv 2025,2,PI 655985
9,104,2351,SbDiv 2025,2,PI 609456
10,104,2450,SbDiv 2025,2,PI 533957
11,104,2451,SbDiv 2025,2,PI 576351
12,104,2550,SbDiv 2025,2,PI 656028
13,104,2551,SbDiv 2025,2,PI 576354
14,104,2650,SbDiv 2025,2,PI 534045
15,104,2651,SbDiv 2025,2,PI 656063
16,104,2750,SbDiv 2025,2,PI 656010
17,104,2751,SbDiv 2025,2,PI 533996
18,104,2850,SbDiv 2025,2,PI 576344
19,104,2851,SbDiv 2025,2,PI 656119
20,104,2950,SbDiv 2025,2,PI 576338
21,104,2951,SbDiv 2025,2,PI 534061
22,104,6050,Mural ExPVP 2025,2,PI 601756
23,104,9466,Border,Border,Border
1,105,9233,Border,Border,Border
2,105,9236,Border,Border,Border
3,105,9245,Border,Border,Border
4,105,9248,Border,Border,Border
5,105,9257,Border,Border,Border
6,105,9260,Border,Border,Border
7,105,9269,Border,Border,Border
8,105,9272,Border,Border,Border
9,105,9281,Border,Border,Border
10,105,9284,Border,Border,Border
11,105,9293,Border,Border,Border
12,105,9296,Border,Border,Border
13,105,9305,Border,Border,Border
14,105,9308,Border,Border,Border
15,105,9317,Border,Border,Border
16,105,9320,Border,Border,Border
17,105,9329,Border,Border,Border
18,105,9332,Border,Border,Border
19,105,9341,Border,Border,Border
20,105,9344,Border,Border,Border
21,105,9355,Border,Border,Border
22,105,9358,Border,Border,Border
23,105,9467,Border,Border,Border
1,106,9234,Border,Border,Border
2,106,9235,Border,Border,Border
3,106,9246,Border,Border,Border
4,106,9247,Border,Border,Border
5,106,9258,Border,Border,Border
6,106,9259,Border,Border,Border
7,106,9270,Border,Border,Border
8,106,9271,Border,Border,Border
9,106,9282,Border,Border,Border
10,106,9283,Border,Border,Border
11,106,9294,Border,Border,Border
12,106,9295,Border,Border,Border
13,106,9306,Border,Border,Border
14,106,9307,Border,Border,Border
15,106,9318,Border,Border,Border
16,106,9319,Border,Border,Border
17,106,9330,Border,Border,Border
18,106,9331,Border,Border,Border
19,106,9342,Border,Border,Border
20,106,9343,Border,Border,Border
21,106,9356,Border,Border,Border
22,106,9357,Border,Border,Border
23,106,9468,Border,Border,Border
